model,mse,rmse,mae,r2
Deep Learning MLP,73.5594253540039,8.576679156526954,5.856321334838867,0.3772789239883423
Tuned HistGradientBoosting,79.40032241399678,8.910685855420827,6.233332534423121,0.3278324289996072
Baseline Median,130.96450805664062,11.443972564483044,7.6057538986206055,-0.10868680477142334
